Time,#1出口氮氧化物,UNIT3:A18M010F,入口氮氧化物,#1SCR反应器加氨流量,有功功率,#3机净烟气NOx,E磨煤机6kV电动机接触器电流,B磨煤机6kV电动机接触器电流,C磨煤机6kV电动机接触器电流,F磨煤机6kV电动机接触器电流
1,22.3619,21,309.14,89.5604,392.47,31.9597,38.1563,-0.0610497,47.6801,43.6508
2,22.4893,21,306.054,88.9499,392.47,32.0208,37.5458,-0.0610497,46.7033,44.2613
3,22.5933,21,303.771,88.5836,393.53,32.265,37.5458,-0.0610497,46.7033,43.6508
4,22.466,21,301.376,88.0952,393,32.265,37.5458,-0.0610497,47.1917,44.2613
5,22.466,21,297.468,87.6068,394.06,32.6313,37.5458,-0.0610497,48.4127,44.3834
6,22.466,21,294.104,86.8742,393.53,32.7534,37.79,-0.0610497,46.5812,44.7497
7,22.466,21,293.178,86.0195,393.53,32.8755,38.6447,-0.0610497,47.1917,43.7729
8,22.466,21,291.827,85.6532,394.06,33.1197,38.5226,-0.0610497,47.1917,43.7729
9,22.3619,21,290.76,85.409,394.06,33.2418,38.6447,-0.0610497,46.8254,44.1392
10,22.11,21,289.562,84.7985,394.59,33.3028,37.1795,-0.0610497,47.1917,43.895
11,22.339,21,288.929,84.4322,394.06,33.486,37.4237,-0.0610497,47.1917,44.3834
12,22.1905,21,287.942,83.0891,394.59,33.486,38.1563,-0.0610497,47.0696,43.6508
13,22.1905,21,287.234,83.8217,394.06,33.547,39.1331,-0.0610497,46.9475,44.6276
14,22.0777,21,287.234,85.2869,394.06,33.6691,37.9121,-0.0610497,47.9243,44.7497
15,22.0777,21,287.157,85.5311,395.65,33.7912,37.79,-0.0610497,46.5812,44.9939
16,22.0777,21,286.881,85.5311,394.59,33.9133,39.6215,-0.0610497,47.9243,44.8718
17,22.0681,21,286.173,84.3101,395.12,34.0965,39.011,-0.0610497,48.1685,44.7497
18,21.7974,21,285.819,84.0659,395.12,34.2186,40.9646,-0.0610497,48.5348,44.1392
19,21.7974,21,285.543,84.3101,395.12,34.2796,40.3541,-0.0610497,48.2906,44.8718
20,21.6879,21,285.269,83.4554,395.12,34.4017,39.1331,-0.0610497,46.7033,45.7265
21,21.5427,21,286.053,81.6239,395.12,34.5238,37.9121,-0.0610497,46.8254,45.116
22,21.5427,21,286.682,81.3797,395.65,34.4017,38.0342,-0.0610497,47.4359,44.0171
23,21.4352,21,287.035,81.2576,394.59,34.5849,38.2784,-0.0610497,47.3138,44.0171
24,21.4352,21,288.019,79.0598,395.12,34.768,38.2784,-0.0610497,46.9475,44.3834
25,21.2487,21,289.004,77.7167,395.65,34.6459,38.5226,-0.0610497,47.3138,44.8718
26,21.3499,21,289.637,76.862,395.65,34.8901,38.5226,-0.0610497,46.337,44.8718
27,21.2064,21,291.115,75.8852,395.65,35.0122,37.79,-0.0610497,47.6801,44.8718
28,21.2064,21,291.68,75.641,395.12,35.0733,37.3016,-0.0610497,47.558,45.3602
29,21.2064,21,292.889,75.3968,394.59,35.1954,38.5226,-0.0610497,48.6569,44.5055
30,21.2064,21,294.177,76.3736,394.59,35.1954,38.4005,-0.0610497,47.4359,43.895
31,21.1016,21,296.048,77.3504,396.179,35.1954,38.1563,-0.0610497,47.6801,45.116
